sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
255,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
255,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,spatt,microcystin,FALSE
255,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,spatt,nodularin,TRUE
256,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,spatt,anatoxin,FALSE
256,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
256,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,spatt,microcystin,FALSE
256,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,spatt,nodularin,FALSE
257,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,spatt,anatoxin,FALSE
257,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
257,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,spatt,microcystin,TRUE
257,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,spatt,nodularin,FALSE
258,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,spatt,anatoxin,FALSE
258,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
258,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,spatt,microcystin,FALSE
258,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,spatt,nodularin,FALSE
259,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,spatt,anatoxin,FALSE
259,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
259,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,spatt,microcystin,TRUE
259,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,spatt,nodularin,FALSE
262,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,spatt,anatoxin,FALSE
262,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
262,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,spatt,microcystin,TRUE
262,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,spatt,nodularin,FALSE
263,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,spatt,anatoxin,FALSE
263,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
263,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,spatt,microcystin,TRUE
263,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,spatt,nodularin,TRUE
264,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,spatt,anatoxin,FALSE
264,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
264,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,spatt,microcystin,TRUE
264,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,spatt,nodularin,FALSE
265,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,spatt,anatoxin,FALSE
265,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
265,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,spatt,microcystin,TRUE
